Product_Name,Brand_Name,Price_,Rating_,Number_of_Buyers,Total_Sold,Available_Stock,Main_Category,Sub_Category,Discount_,Seller,Return_Policy
luthra-banerjee facilis lite washing machines 15,luthra-banerjee facilis,17734.01,3.5,1197,9474,3391,appliances,washing machines,50,fashionplus,False
dhingra plc provident ultra t-shirts 11,dhingra plc,357.31,4.3,7420,9968,2669,fashion,t-shirts,19,flipkart assured,False
handa ltd maiores ultra washing machines 8,handa ltd,30720.86,3.4,9724,4311,841,appliances,washing machines,28,supercomnet,False
raja group odio plus t-shirts 13,raja group,1042.81,3.5,5356,2580,366,fashion,t-shirts,26,homecare solutions,False
datta-dani iure pro smartphones 4,datta-dani iure,136011.07,3.7,8965,5430,502,electronics,smartphones,0,cloudtail india,False
rajagopal ltd quod ultra refrigerators 13,rajagopal ltd,76763.56,4.0,6952,1332,566,appliances,refrigerators,45,flipkart assured,False
"patla, lalla and dara rem pro shoes 10","patla, lalla",37924.32,4.9,3512,7184,1638,fashion,shoes,0,supercomnet,False
wason-manda aperiam lite refrigerators 5,wason-manda aperiam,70930.47,3.3,1555,5886,2782,appliances,refrigerators,35,mobilehub,False
"subramaniam, dhawan and bedi dolorem plus headphones 9","subramaniam, dhawan",4928.11,4.9,2103,9637,3891,electronics,headphones,0,fashionplus,False
dey-maharaj minima ultra refrigerators 7,dey-maharaj minima,23293.67,4.4,4046,7208,2612,appliances,refrigerators,5,mobilehub,False
date-chawla quia ultra decor 6,date-chawla quia,3594.45,3.6,1279,3647,1557,home,decor,7,fashionplus,False
vohra llc consequuntur pro microwaves 2,vohra llc,4971.54,3.8,3089,2917,117,appliances,microwaves,0,homecare solutions,False
"ganguly, vora and raju delectus lite smartwatches 13","ganguly, vora",593.12,4.4,2154,2939,1456,electronics,smartwatches,7,fashionplus,False
mody llc est pro shoes 10,mody llc,36728.84,4.6,11,695,143,fashion,shoes,8,electroworld,False
"butala, pau and hans ipsa pro headphones 5","butala, pau",45535.61,4.7,2909,5260,900,electronics,headphones,41,electroworld,False
chander plc dolores plus laptops 15,chander plc,186808.4,3.1,5252,4922,1027,electronics,laptops,18,cloudtail india,False
sane inc ratione lite t-shirts 8,sane inc,782.52,3.3,1354,3613,688,fashion,t-shirts,0,supercomnet,False
arya and sons eligendi pro t-shirts 9,arya and,952.78,4.3,2872,9741,4480,fashion,t-shirts,68,mobilehub,False
"das, malhotra and raghavan quas pro microwaves 2","das, malhotra",824.79,4.2,265,7394,322,appliances,microwaves,0,fashionplus,False
bhargava-goswami beatae lite lighting 10,bhargava-goswami beatae,28494.96,3.5,8972,4635,2258,home,lighting,0,supercomnet,False
vala-khurana delectus lite refrigerators 9,vala-khurana delectus,60406.7,3.6,7039,3353,702,appliances,refrigerators,6,cloudtail india,False
deshmukh-dhingra necessitatibus lite furniture 8,deshmukh-dhingra necessitatibus,15167.82,3.9,669,9012,2660,home,furniture,31,mobilehub,False
"chauhan, venkatesh and gulati quaerat lite furniture 14","chauhan, venkatesh",2701.59,3.1,4608,3641,987,home,furniture,0,flipkart assured,False
"khare, oza and nath deserunt plus acs 11","khare, oza",48794.86,4.3,676,2229,1085,appliances,acs,25,flipkart assured,False
"venkatesh, konda and padmanabhan earum ultra microwaves 12","venkatesh, konda",9733.98,3.8,3109,2959,581,appliances,microwaves,13,retailnet,False
borah plc impedit plus dresses 1,borah plc,586.53,4.5,5424,1719,499,fashion,dresses,9,fashionplus,False
padmanabhan-pillai odit plus dresses 6,padmanabhan-pillai odit,12496.07,4.8,484,6892,3179,fashion,dresses,51,cloudtail india,False
bora-shan rerum lite decor 6,bora-shan rerum,5641.82,4.4,7418,8922,820,home,decor,40,electroworld,False
lal group illum plus decor 6,lal group,34246.46,4.2,7166,7358,1785,home,decor,68,flipkart assured,False
mukherjee-dash porro ultra laptops 5,mukherjee-dash porro,91365.98,3.9,7347,7511,1851,electronics,laptops,53,retailnet,False
"gupta, ramesh and sridhar dolore pro furniture 14","gupta, ramesh",38054.63,3.8,4227,9799,3676,home,furniture,26,homecare solutions,False
bhasin ltd tempore pro decor 2,bhasin ltd,7057.81,4.0,4500,5066,1990,home,decor,31,fashionplus,False
gandhi ltd aspernatur lite microwaves 4,gandhi ltd,3677.01,3.1,7787,5908,2567,appliances,microwaves,29,mobilehub,False
wason llc sapiente ultra microwaves 11,wason llc,18913.1,3.3,3395,7936,2581,appliances,microwaves,65,supercomnet,False
"verma, jayaraman and rai dolorum lite jeans 5","verma, jayaraman",18658.91,4.5,7193,1885,537,fashion,jeans,15,electroworld,False
balasubramanian inc eveniet pro kitchenware 3,balasubramanian inc,29806.13,3.5,4158,6304,885,home,kitchenware,8,fashionplus,False
"menon, sengupta and chahal fugiat ultra washing machines 4","menon, sengupta",21451.91,3.1,8244,5078,1836,appliances,washing machines,0,retailnet,False
"pandya, mukhopadhyay and baria quibusdam pro microwaves 14","pandya, mukhopadhyay",26355.2,5.0,2670,2729,278,appliances,microwaves,50,flipkart assured,False
"natarajan, sidhu and vora eligendi pro microwaves 7","natarajan, sidhu",49832.14,4.3,7615,4172,1848,appliances,microwaves,21,homecare solutions,False
"anand, bawa and chowdhury incidunt ultra shoes 6","anand, bawa",26598.77,4.6,2689,5002,846,fashion,shoes,48,flipkart assured,False
"wadhwa, sibal and shan ratione lite smartwatches 5","wadhwa, sibal",23442.67,3.6,6455,1183,171,electronics,smartwatches,26,mobilehub,False
salvi llc soluta plus dresses 4,salvi llc,1992.4,4.6,1934,363,124,fashion,dresses,19,retailnet,False
"bumb, som and rastogi cumque ultra lighting 6","bumb, som",32866.25,3.3,5463,1804,315,home,lighting,0,mobilehub,False
"gade, dubey and sura illum plus refrigerators 10","gade, dubey",44855.84,4.9,9003,5407,1470,appliances,refrigerators,0,supercomnet,False
"andra, mitter and ranganathan quia ultra t-shirts 10","andra, mitter",1876.09,3.3,6198,3515,835,fashion,t-shirts,45,electroworld,False
basu-sura dignissimos pro t-shirts 2,basu-sura dignissimos,547.04,4.3,918,9576,655,fashion,t-shirts,61,electroworld,False
dhillon-narayan eaque ultra kitchenware 5,dhillon-narayan eaque,39370.05,4.6,2244,7841,1072,home,kitchenware,35,cloudtail india,False
dave-kannan vel lite furniture 2,dave-kannan vel,40446.7,4.6,4412,9666,2386,home,furniture,0,cloudtail india,False
"pingle, keer and balan debitis lite lighting 12","pingle, keer",6631.51,4.4,6046,6713,473,home,lighting,0,electroworld,False
kala plc autem pro furniture 13,kala plc,9414.61,3.5,5819,5374,283,home,furniture,0,supercomnet,False
gulati ltd ratione pro shoes 4,gulati ltd,44430.69,4.2,3127,8392,1152,fashion,shoes,67,flipkart assured,False
"devan, buch and ghosh eligendi pro headphones 3","devan, buch",37270.06,5.0,8230,6691,1472,electronics,headphones,30,cloudtail india,False
raman-butala natus lite dresses 12,raman-butala natus,11073.16,3.1,706,3249,297,fashion,dresses,36,electroworld,False
"samra, bhattacharyya and barad laboriosam lite washing machines 6","samra, bhattacharyya",35185.76,4.1,4432,3001,896,appliances,washing machines,0,fashionplus,False
padmanabhan ltd recusandae plus headphones 3,padmanabhan ltd,4441.43,3.9,3661,4557,3,electronics,headphones,0,fashionplus,False
yohannan-mahajan mollitia lite decor 4,yohannan-mahajan mollitia,22854.02,5.0,1648,6735,2505,home,decor,0,homecare solutions,False
sabharwal-de tempore lite acs 13,sabharwal-de tempore,44421.32,3.4,6912,9778,259,appliances,acs,32,fashionplus,False
sachdev ltd possimus ultra smartphones 2,sachdev ltd,42820.5,3.3,9790,350,114,electronics,smartphones,47,cloudtail india,False
ganguly inc commodi plus refrigerators 13,ganguly inc,54103.97,4.2,7528,3778,72,appliances,refrigerators,43,electroworld,False
dey and sons provident ultra furniture 13,dey and,47206.53,3.7,4989,5365,1422,home,furniture,0,homecare solutions,False
pant-garg ex ultra dresses 14,pant-garg ex,40117.35,4.9,3493,8457,2020,fashion,dresses,0,supercomnet,False
bajwa plc velit ultra acs 9,bajwa plc,46532.97,3.2,1884,9805,1920,appliances,acs,48,flipkart assured,False
narayanan-oommen tempore plus smartphones 1,narayanan-oommen tempore,38118.21,3.2,9611,5521,389,electronics,smartphones,0,electroworld,False
yogi-saha consectetur plus dresses 8,yogi-saha consectetur,17462.0,4.3,4686,1338,243,fashion,dresses,0,homecare solutions,False
"modi, bal and mannan hic plus microwaves 12","modi, bal",38959.07,3.4,7673,1484,467,appliances,microwaves,31,mobilehub,False
dhaliwal llc quae ultra refrigerators 5,dhaliwal llc,58693.64,3.1,2062,4052,523,appliances,refrigerators,36,retailnet,False
cheema inc harum ultra headphones 5,cheema inc,40627.5,4.6,1837,5194,143,electronics,headphones,60,retailnet,False
"mangat, agrawal and prasad nulla lite kitchenware 8","mangat, agrawal",19378.0,4.8,5058,8363,1315,home,kitchenware,31,flipkart assured,False
jayaraman-palla officia lite shoes 6,jayaraman-palla officia,28360.85,3.2,45,4046,408,fashion,shoes,14,flipkart assured,False
kumer-bhatt eveniet lite smartwatches 9,kumer-bhatt eveniet,44215.38,4.4,9175,3275,328,electronics,smartwatches,65,electroworld,False
murthy-chaudry ad pro washing machines 1,murthy-chaudry ad,16718.03,3.8,3557,4957,1701,appliances,washing machines,6,electroworld,False
"narain, sehgal and devi beatae lite furniture 13","narain, sehgal",25126.44,3.9,1965,71,33,home,furniture,0,electroworld,False
wason group optio ultra washing machines 9,wason group,14598.42,3.9,4948,6461,632,appliances,washing machines,0,flipkart assured,False
mallick-sankar quasi lite t-shirts 7,mallick-sankar quasi,1097.93,4.8,8122,540,205,fashion,t-shirts,16,flipkart assured,False
"ravi, joshi and dutta voluptate plus lighting 1","ravi, joshi",29353.21,4.7,2910,9245,1216,home,lighting,43,homecare solutions,False
pathak-konda corporis lite refrigerators 5,pathak-konda corporis,48286.59,4.1,3837,7107,337,appliances,refrigerators,0,homecare solutions,False
borra ltd consequatur pro acs 9,borra ltd,14042.5,4.9,1918,3183,1138,appliances,acs,0,homecare solutions,False
"bhargava, choudhry and dhawan vero lite dresses 3","bhargava, choudhry",19507.44,3.3,4528,9556,1304,fashion,dresses,22,flipkart assured,False
"sane, sarkar and iyer maxime ultra shoes 1","sane, sarkar",23284.55,3.3,3734,1278,487,fashion,shoes,0,supercomnet,False
khosla-sabharwal doloremque ultra kitchenware 2,khosla-sabharwal doloremque,12646.44,3.6,3616,8572,898,home,kitchenware,23,flipkart assured,False
"chokshi, misra and bedi debitis pro headphones 2","chokshi, misra",289.65,3.1,9052,9020,3069,electronics,headphones,34,flipkart assured,False
"borah, purohit and sen vel pro kitchenware 3","borah, purohit",40528.96,3.5,5284,4749,2021,home,kitchenware,0,electroworld,False
manne and sons modi plus microwaves 6,manne and,46040.63,4.8,3475,4898,2409,appliances,microwaves,59,fashionplus,False
tank-gole nesciunt plus decor 4,tank-gole nesciunt,27017.99,3.1,1876,3104,367,home,decor,54,electroworld,False
butala group nemo lite shoes 4,butala group,34124.49,4.8,4473,7239,3153,fashion,shoes,8,retailnet,False
"varkey, bail and nadig in pro smartwatches 1","varkey, bail",18502.2,3.9,1136,3792,705,electronics,smartwatches,9,retailnet,False
raman-bora dicta plus lighting 11,raman-bora dicta,47248.17,4.0,5751,9734,4027,home,lighting,57,retailnet,False
"karnik, more and bassi natus pro jeans 5","karnik, more",28699.59,4.7,6439,9824,3736,fashion,jeans,33,cloudtail india,False
bains and sons pariatur pro shoes 11,bains and,18673.59,3.5,8417,7124,644,fashion,shoes,19,cloudtail india,False
"varghese, loyal and kara sunt pro shoes 9","varghese, loyal",21262.25,3.9,3890,2714,812,fashion,shoes,0,flipkart assured,False
"magar, dutta and mani a lite microwaves 15","magar, dutta",39932.06,3.8,7657,2356,834,appliances,microwaves,36,cloudtail india,False
bhalla-kota reprehenderit lite decor 14,bhalla-kota reprehenderit,48130.82,3.1,2078,3322,1293,home,decor,0,fashionplus,False
lata group quis ultra headphones 7,lata group,6768.72,3.4,7651,3739,1315,electronics,headphones,0,homecare solutions,False
thaman-tailor voluptatibus pro decor 15,thaman-tailor voluptatibus,7424.66,3.8,8542,3778,1488,home,decor,0,flipkart assured,False
"venkatesh, chahal and ganesan nemo lite acs 13","venkatesh, chahal",119.17,3.1,1615,7889,1715,appliances,acs,26,fashionplus,False
"sha, menon and dugar enim ultra refrigerators 12","sha, menon",40033.55,4.2,6466,9844,760,appliances,refrigerators,11,homecare solutions,False
bora inc quos ultra decor 11,bora inc,21476.15,3.2,5696,2346,717,home,decor,36,cloudtail india,False
shukla-venkatesh tenetur pro dresses 5,shukla-venkatesh tenetur,48629.49,3.4,8003,2733,818,fashion,dresses,58,mobilehub,False
kari ltd tempora pro smartwatches 12,kari ltd,2724.49,4.3,2756,6101,2816,electronics,smartwatches,14,electroworld,False
dhar-rana totam plus refrigerators 9,dhar-rana totam,15800.96,3.2,7569,688,168,appliances,refrigerators,20,flipkart assured,False
"raj, sama and venkatesh quam lite smartwatches 7","raj, sama",37702.17,4.4,85,130,54,electronics,smartwatches,34,cloudtail india,False
"chandra, jaggi and dayal quis pro shoes 12","chandra, jaggi",49194.85,4.8,32,1733,562,fashion,shoes,32,mobilehub,False
acharya-radhakrishnan fugit lite kitchenware 11,acharya-radhakrishnan fugit,22815.52,4.3,384,9519,2813,home,kitchenware,0,flipkart assured,False
om group incidunt plus lighting 12,om group,36848.47,3.3,8075,3770,49,home,lighting,35,homecare solutions,False
"halder, sami and gola eum lite shoes 4","halder, sami",25319.12,3.5,2182,1177,230,fashion,shoes,0,fashionplus,False
khurana and sons suscipit lite decor 5,khurana and,8293.76,4.2,11,7648,2688,home,decor,60,electroworld,False
"kibe, mutti and sibal reprehenderit lite shoes 12","kibe, mutti",34534.7,3.3,2902,9775,2750,fashion,shoes,0,retailnet,False
majumdar and sons occaecati lite headphones 12,majumdar and,9718.25,4.2,5215,5669,341,electronics,headphones,47,flipkart assured,False
dube ltd aliquam pro kitchenware 2,dube ltd,29100.59,4.0,7148,2285,446,home,kitchenware,0,homecare solutions,False
aggarwal-hans dicta lite headphones 4,aggarwal-hans dicta,17639.77,4.5,672,9969,528,electronics,headphones,0,retailnet,False
sule-devan sequi lite refrigerators 7,sule-devan sequi,19309.32,4.7,8459,9439,2046,appliances,refrigerators,51,electroworld,False
sama-balakrishnan atque ultra lighting 12,sama-balakrishnan atque,42120.73,3.9,8769,6767,1893,home,lighting,54,mobilehub,False
"patla, jayaraman and gole error pro furniture 7","patla, jayaraman",30853.89,3.3,8069,1388,516,home,furniture,0,fashionplus,False
kumer and sons quidem pro furniture 4,kumer and,26921.89,4.7,7561,9579,2854,home,furniture,20,cloudtail india,False
gole-rajan necessitatibus plus kitchenware 10,gole-rajan necessitatibus,704.08,3.2,6721,3921,1168,home,kitchenware,0,fashionplus,False
thaker-murty rem pro refrigerators 14,thaker-murty rem,33506.63,3.2,2537,1976,928,appliances,refrigerators,65,homecare solutions,False
borah group quaerat lite acs 7,borah group,48179.34,3.0,2967,1169,531,appliances,acs,65,retailnet,False
sehgal inc maxime pro shoes 2,sehgal inc,6631.71,3.3,4469,1965,888,fashion,shoes,20,fashionplus,False
sarkar-vaidya sed pro smartphones 15,sarkar-vaidya sed,142686.22,3.2,9226,4805,1054,electronics,smartphones,53,flipkart assured,False
"naidu, sachar and bhatnagar porro pro jeans 5","naidu, sachar",23298.13,3.2,7152,8134,2230,fashion,jeans,15,mobilehub,False
gera plc molestias plus smartwatches 3,gera plc,22756.05,3.4,7192,458,47,electronics,smartwatches,0,supercomnet,False
golla-deol fugiat ultra dresses 11,golla-deol fugiat,27202.11,4.3,7234,3489,1681,fashion,dresses,65,flipkart assured,False
kari ltd at pro decor 15,kari ltd,34230.48,3.7,3224,8199,1304,home,decor,0,supercomnet,False
prakash-reddy necessitatibus plus smartwatches 12,prakash-reddy necessitatibus,29923.99,4.5,7698,6154,2742,electronics,smartwatches,0,mobilehub,False
chaudry inc eius ultra smartwatches 11,chaudry inc,19515.99,3.6,8122,3671,273,electronics,smartwatches,7,cloudtail india,False
rattan-das atque ultra microwaves 9,rattan-das atque,44048.73,4.5,1452,1350,324,appliances,microwaves,70,cloudtail india,False
"natarajan, narain and dayal voluptatum ultra headphones 6","natarajan, narain",39238.54,3.6,3268,696,207,electronics,headphones,37,retailnet,False
mane-nayar aperiam pro laptops 10,mane-nayar aperiam,176679.77,4.9,580,1057,521,electronics,laptops,0,flipkart assured,False
menon and sons rerum lite furniture 9,menon and,4443.21,4.5,9954,2473,1151,home,furniture,0,homecare solutions,False
"sarin, devi and soman a lite t-shirts 8","sarin, devi",1142.64,4.5,1448,5022,2305,fashion,t-shirts,39,supercomnet,False
"prashad, radhakrishnan and mittal minima ultra shoes 6","prashad, radhakrishnan",38041.51,3.3,7312,2398,108,fashion,shoes,46,supercomnet,False
muni ltd odio plus t-shirts 11,muni ltd,801.09,4.8,7469,7835,964,fashion,t-shirts,0,flipkart assured,False
"atwal, rajagopal and mand facilis lite shoes 7","atwal, rajagopal",5384.82,3.4,2729,1250,256,fashion,shoes,50,supercomnet,False
pathak and sons ad plus refrigerators 14,pathak and,49730.98,4.9,6530,352,69,appliances,refrigerators,17,retailnet,False
kari-devan inventore ultra lighting 3,kari-devan inventore,5338.19,3.1,2128,841,134,home,lighting,61,homecare solutions,False
roy-dhillon odio plus shoes 8,roy-dhillon odio,38445.2,4.5,1946,2514,492,fashion,shoes,0,homecare solutions,False
sodhi-rajagopal quia plus washing machines 13,sodhi-rajagopal quia,25371.58,3.8,3853,293,72,appliances,washing machines,69,electroworld,False
suresh-butala veritatis plus jeans 14,suresh-butala veritatis,19876.98,3.9,7617,4077,455,fashion,jeans,38,homecare solutions,False
"ramanathan, parekh and chaudhuri alias plus jeans 1","ramanathan, parekh",24781.64,4.0,784,7132,2383,fashion,jeans,0,fashionplus,False
kaur plc commodi lite shoes 4,kaur plc,40758.12,3.6,1570,3420,1404,fashion,shoes,55,homecare solutions,False
char inc alias pro decor 2,char inc,16170.52,4.1,8306,2820,449,home,decor,0,retailnet,False
basak-nair dicta lite acs 3,basak-nair dicta,20179.68,4.9,9024,4154,1877,appliances,acs,54,cloudtail india,False
deep-lanka asperiores plus dresses 3,deep-lanka asperiores,30152.3,4.7,2429,4656,779,fashion,dresses,56,electroworld,False
yadav-setty harum pro laptops 15,yadav-setty harum,93404.59,3.5,6409,5955,2661,electronics,laptops,59,fashionplus,False
"raman, sem and krish eligendi ultra laptops 12","raman, sem",75486.25,4.0,9606,3366,924,electronics,laptops,66,supercomnet,False
"bumb, sengupta and gulati quidem plus dresses 12","bumb, sengupta",14863.35,4.0,6561,3082,1216,fashion,dresses,44,cloudtail india,False
khanna plc dolores ultra acs 5,khanna plc,19881.29,3.7,1809,9093,2979,appliances,acs,0,homecare solutions,False
kapoor llc molestias ultra acs 6,kapoor llc,35628.77,3.7,4009,2526,652,appliances,acs,0,retailnet,False
date inc repellendus plus acs 12,date inc,2441.69,3.1,9439,9976,4924,appliances,acs,40,retailnet,False
"rai, prabhakar and som sapiente lite microwaves 4","rai, prabhakar",19927.52,4.1,5955,4079,131,appliances,microwaves,0,homecare solutions,False
narayanan inc architecto lite smartwatches 1,narayanan inc,16638.12,4.9,6365,4397,1944,electronics,smartwatches,52,fashionplus,False
soman plc enim pro decor 8,soman plc,31970.64,4.6,3631,1490,634,home,decor,41,electroworld,False
shankar and sons cumque plus decor 13,shankar and,22255.08,4.2,6714,2853,364,home,decor,0,electroworld,False
vora-choudhury distinctio lite jeans 15,vora-choudhury distinctio,21426.13,3.4,4561,7631,3534,fashion,jeans,0,supercomnet,False
"misra, rao and thaman nihil pro smartphones 12","misra, rao",59602.09,4.9,1779,303,150,electronics,smartphones,21,mobilehub,False
gupta group at pro furniture 2,gupta group,9703.65,3.2,2039,6503,1082,home,furniture,0,retailnet,False
kuruvilla-sridhar consectetur ultra headphones 6,kuruvilla-sridhar consectetur,36691.53,4.4,5813,7641,2383,electronics,headphones,48,cloudtail india,False
patel-rajan impedit pro smartwatches 8,patel-rajan impedit,21844.92,3.8,5816,8961,1215,electronics,smartwatches,47,flipkart assured,False
"sampath, nagarajan and kulkarni ad pro washing machines 4","sampath, nagarajan",25098.47,4.9,1307,6583,3143,appliances,washing machines,11,homecare solutions,False
chawla-shah itaque pro washing machines 8,chawla-shah itaque,46567.28,3.1,4368,512,98,appliances,washing machines,11,retailnet,False
kala-wali quisquam lite kitchenware 3,kala-wali quisquam,27744.54,3.1,2668,7191,2141,home,kitchenware,0,fashionplus,False
kurian-dayal autem lite refrigerators 7,kurian-dayal autem,79393.2,4.8,5428,5768,783,appliances,refrigerators,56,mobilehub,False
"minhas, lala and prasad dolore lite headphones 7","minhas, lala",3268.91,4.7,2615,8084,2575,electronics,headphones,0,cloudtail india,False
