Product Name,Categorize Product,Brand Name,Price (?),Discounted Price,Rating (?),Number of Buyers,Total Sold,Available Stock,Main Category,Sub Category,Discount (%),Seller,Return Policy
Keer-Ram Assumenda Pro Furniture 1,Other,Keer-Ram Assumenda,203864.38 ,89700.33 ,4.40 ,5785,5002,480,Home,Furniture,56,HomeCare Solutions,FALSE
Toor and Sons Dicta Lite T-Shirts 7,Other,Toor and,203497.54 ,120063.55 ,4.90 ,4392,8222,1196,Fashion,T-Shirts,41,Cloudtail India,FALSE
"Chawla, Modi and Grewal Quas Lite T-Shirts 9",Other,"Chawla, Modi",202756.14 ,62854.40 ,3.70 ,7130,8678,2736,Fashion,T-Shirts,69,Flipkart Assured,TRUE
"Dhingra, Acharya and Gopal Provident Plus Shoes 7",Other,"Dhingra, Acharya",202560.12 ,188380.91 ,3.60 ,8500,4928,1626,Fashion,Shoes,7,Flipkart Assured,FALSE
Yadav-Setty Provident Plus Furniture 12,Other,Yadav-Setty Provident,202534.14 ,153925.95 ,3.70 ,4970,8972,3433,Home,Furniture,24,ElectroWorld,TRUE
Kala Ltd Saepe Plus T-Shirts 10,Other,Kala Ltd,201411.05 ,177241.72 ,3.80 ,8447,4901,163,Fashion,T-Shirts,12,FashionPlus,TRUE
Buch-Chokshi Exercitationem Lite T-Shirts 10,Other,Buch-Chokshi Exercitationem,200524.38 ,100262.19 ,4.00 ,1968,3463,655,Fashion,T-Shirts,50,HomeCare Solutions,TRUE
Sandhu-Srivastava Animi Pro T-Shirts 11,Other,Sandhu-Srivastava Animi,198685.62 ,186764.48 ,4.50 ,3277,9520,4682,Fashion,T-Shirts,6,Flipkart Assured,TRUE
Sunder-Patla Consequuntur Plus T-Shirts 2,Other,Sunder-Patla Consequuntur,198314.42 ,71393.19 ,4.60 ,1525,1639,296,Fashion,T-Shirts,64,Flipkart Assured,FALSE
"Aggarwal, Bora and Natt Laborum Plus T-Shirts 7",Other,"Aggarwal, Bora",197843.38 ,197843.38 ,4.70 ,4625,7396,1421,Fashion,T-Shirts,0,HomeCare Solutions,FALSE
"Nagarajan, Trivedi and Lanka Illum Pro T-Shirts 11",Other,"Nagarajan, Trivedi",196484.60 ,139504.07 ,3.40 ,5540,5350,283,Fashion,T-Shirts,29,Cloudtail India,FALSE
Madan-Chana Asperiores Plus Decor 7,Other,Madan-Chana Asperiores,195029.62 ,122868.66 ,4.80 ,8372,3133,445,Home,Decor,37,MobileHub,TRUE
Edwin LLC Eveniet Lite T-Shirts 15,Other,Edwin LLC,194660.70 ,70077.85 ,3.80 ,7488,8274,2263,Fashion,T-Shirts,64,HomeCare Solutions,FALSE
Dayal-Menon Nostrum Plus Furniture 1,Other,Dayal-Menon Nostrum,193192.68 ,160349.92 ,3.90 ,7535,272,20,Home,Furniture,17,Flipkart Assured,FALSE
Chokshi and Sons A Lite T-Shirts 1,Other,Chokshi and,192792.37 ,148450.12 ,3.30 ,8015,1762,104,Fashion,T-Shirts,23,FashionPlus,TRUE
Chacko and Sons Voluptatum Ultra T-Shirts 3,Other,Chacko and,191338.65 ,160724.47 ,3.10 ,6981,3434,807,Fashion,T-Shirts,16,ElectroWorld,TRUE
Kibe-Sastry Dignissimos Ultra Headphones 3,Phone,Kibe-Sastry Dignissimos,190331.63 ,60906.12 ,4.50 ,3265,761,241,Electronics,Headphones,68,MobileHub,FALSE
Mangat LLC Culpa Pro T-Shirts 8,Other,Mangat LLC,189928.97 ,83568.75 ,4.90 ,96,7598,90,Fashion,T-Shirts,56,SuperComNet,FALSE
Wali PLC Tempora Lite T-Shirts 1,Other,Wali PLC,189368.92 ,104152.91 ,4.00 ,5748,3622,1672,Fashion,T-Shirts,45,HomeCare Solutions,FALSE
"Handa, Tak and Sinha Non Lite ACs 12",Other,"Handa, Tak",187254.46 ,58048.88 ,3.30 ,9183,7814,424,Appliances,ACs,69,FashionPlus,TRUE
Nagi-Taneja Asperiores Lite Lighting 15,Other,Nagi-Taneja Asperiores,186922.43 ,164491.74 ,4.90 ,2317,3085,69,Home,Lighting,12,ElectroWorld,TRUE
Basu-Sura Dignissimos Pro T-Shirts 2,Other,Basu-Sura Dignissimos,186870.29 ,72879.41 ,4.30 ,918,9576,655,Fashion,T-Shirts,61,ElectroWorld,FALSE
Buch LLC Praesentium Ultra T-Shirts 8,Other,Buch LLC,186808.40 ,147578.64 ,4.00 ,317,2959,1388,Fashion,T-Shirts,21,RetailNet,TRUE
"Srinivas, Shere and Goel Fuga Ultra T-Shirts 5",Other,"Srinivas, Shere",185197.27 ,185197.27 ,4.40 ,1902,7506,1135,Fashion,T-Shirts,0,HomeCare Solutions,TRUE
Oak and Sons Ullam Ultra T-Shirts 9,Other,Oak and,183848.11 ,82731.65 ,5.00 ,5077,2045,446,Fashion,T-Shirts,55,ElectroWorld,FALSE
Kunda Inc Quod Ultra Washing Machines 12,Other,Kunda Inc,183778.66 ,58809.17 ,4.30 ,9352,8889,1899,Appliances,Washing Machines,68,RetailNet,FALSE
"Mitter, Merchant and Butala Ex Pro T-Shirts 4",Other,"Mitter, Merchant",182864.55 ,124347.89 ,3.90 ,1245,7697,600,Fashion,T-Shirts,32,MobileHub,FALSE
Mutti-Prabhu Neque Pro T-Shirts 9,Other,Mutti-Prabhu Neque,182779.57 ,129773.49 ,3.70 ,173,9990,1824,Fashion,T-Shirts,29,RetailNet,TRUE
"Morar, Goda and Deol Soluta Lite T-Shirts 6",Other,"Morar, Goda",182316.91 ,182316.91 ,5.00 ,3036,9282,757,Fashion,T-Shirts,0,HomeCare Solutions,FALSE
Mohan PLC Delectus Plus Kitchenware 11,Other,Mohan PLC,181752.52 ,129044.29 ,3.40 ,2212,8218,98,Home,Kitchenware,29,SuperComNet,FALSE
Borah PLC Impedit Plus Dresses 1,Other,Borah PLC,181097.62 ,164798.83 ,4.50 ,5424,1719,499,Fashion,Dresses,9,FashionPlus,FALSE
"Ganguly, Vora and Raju Delectus Lite Smartwatches 13",Smartwatch,"Ganguly, Vora",179669.01 ,167092.18 ,4.40 ,2154,2939,1456,Electronics,Smartwatches,7,FashionPlus,FALSE
Malhotra and Sons Ab Ultra T-Shirts 5,Other,Malhotra and,177851.28 ,65804.97 ,3.20 ,659,8901,74,Fashion,T-Shirts,63,Cloudtail India,TRUE
"Ratti, Shah and Sangha Delectus Ultra Kitchenware 12",Other,"Ratti, Shah",176761.12 ,176761.12 ,3.90 ,2988,4651,673,Home,Kitchenware,0,ElectroWorld,TRUE
Sarna Group Dolor Ultra T-Shirts 11,Other,Sarna Group,176679.77 ,67138.31 ,3.90 ,1164,3821,1479,Fashion,T-Shirts,62,MobileHub,FALSE
"Swamy, Kalita and Mutti Ducimus Pro T-Shirts 2",Other,"Swamy, Kalita",174927.35 ,174927.35 ,3.60 ,9549,9527,1818,Fashion,T-Shirts,0,Flipkart Assured,TRUE
Kadakia LLC Veritatis Plus T-Shirts 9,Other,Kadakia LLC,174150.93 ,160218.86 ,4.00 ,867,394,89,Fashion,T-Shirts,8,MobileHub,FALSE
Dugar-Narayan Ipsum Lite T-Shirts 9,Other,Dugar-Narayan Ipsum,173807.33 ,135569.72 ,3.90 ,4288,6067,1086,Fashion,T-Shirts,22,MobileHub,FALSE
"Suri, Trivedi and Golla Facere Plus T-Shirts 11",Other,"Suri, Trivedi",173272.34 ,67576.21 ,3.10 ,2271,1672,445,Fashion,T-Shirts,61,SuperComNet,TRUE
"Bora, Venkatesh and Sathe Autem Ultra T-Shirts 15",Other,"Bora, Venkatesh",173104.86 ,173104.86 ,4.00 ,7204,5974,1457,Fashion,T-Shirts,0,RetailNet,FALSE
D?lia LLC Quis Lite T-Shirts 13,Other,D?lia LLC,172688.55 ,172688.55 ,4.60 ,2696,8419,1979,Fashion,T-Shirts,0,MobileHub,TRUE
Viswanathan-Mitra Sint Pro T-Shirts 13,Other,Viswanathan-Mitra Sint,172115.33 ,146298.03 ,3.60 ,4821,7102,449,Fashion,T-Shirts,15,SuperComNet,FALSE
Bhasin PLC Fugiat Pro Headphones 12,Phone,Bhasin PLC,171593.35 ,61773.61 ,4.40 ,8210,4713,2327,Electronics,Headphones,64,Flipkart Assured,TRUE
Grover PLC Officiis Pro Shoes 11,Other,Grover PLC,171097.59 ,130034.17 ,3.10 ,5414,9659,2447,Fashion,Shoes,24,SuperComNet,FALSE
Kanda-Nagy Rerum Lite T-Shirts 13,Other,Kanda-Nagy Rerum,170356.56 ,144803.08 ,4.50 ,5923,7350,2203,Fashion,T-Shirts,15,HomeCare Solutions,FALSE
Kothari and Sons Natus Pro Dresses 4,Other,Kothari and,170051.33 ,102030.80 ,4.10 ,7183,8250,2513,Fashion,Dresses,40,SuperComNet,TRUE
Kant-Modi Illum Ultra T-Shirts 12,Other,Kant-Modi Illum,169275.05 ,169275.05 ,3.30 ,966,245,55,Fashion,T-Shirts,0,HomeCare Solutions,TRUE
Khare and Sons Ducimus Lite Kitchenware 1,Other,Khare and,169143.74 ,84571.87 ,4.80 ,5098,1842,294,Home,Kitchenware,50,HomeCare Solutions,TRUE
Buch-Hayre Iusto Plus T-Shirts 1,Other,Buch-Hayre Iusto,166095.73 ,166095.73 ,3.10 ,451,8830,2245,Fashion,T-Shirts,0,HomeCare Solutions,FALSE
Sarraf-Mander Consectetur Ultra T-Shirts 13,Other,Sarraf-Mander Consectetur,164389.51 ,164389.51 ,4.50 ,3268,398,170,Fashion,T-Shirts,0,Flipkart Assured,TRUE
Balasubramanian-Dara Officiis Lite T-Shirts 5,Other,Balasubramanian-Dara Officiis,163019.15 ,148347.43 ,3.90 ,8260,1426,267,Fashion,T-Shirts,9,ElectroWorld,TRUE
"Lanka, Bora and Malhotra Maiores Plus Decor 7",Other,"Lanka, Bora",161505.50 ,74292.53 ,4.30 ,3223,3655,1325,Home,Decor,54,FashionPlus,FALSE
Bhatnagar-Manda Sit Ultra T-Shirts 13,Other,Bhatnagar-Manda Sit,161247.60 ,104810.94 ,3.60 ,6655,7699,324,Fashion,T-Shirts,35,SuperComNet,TRUE
"Savant, Bali and Deo Voluptates Lite Decor 6",Other,"Savant, Bali",160622.12 ,144559.91 ,4.20 ,4408,4207,771,Home,Decor,10,RetailNet,FALSE
Yadav LLC At Plus T-Shirts 13,Other,Yadav LLC,159570.82 ,78189.70 ,4.40 ,588,3165,227,Fashion,T-Shirts,51,ElectroWorld,FALSE
Randhawa-Thaman Culpa Lite T-Shirts 9,Other,Randhawa-Thaman Culpa,159141.88 ,144819.11 ,4.00 ,1832,7767,3204,Fashion,T-Shirts,9,SuperComNet,FALSE
"Chad, Srivastava and Ram Quos Lite Shoes 13",Other,"Chad, Srivastava",159029.36 ,82695.27 ,4.10 ,1114,7689,2230,Fashion,Shoes,48,ElectroWorld,TRUE
Agrawal-Rau Ipsam Plus T-Shirts 5,Other,Agrawal-Rau Ipsam,158702.77 ,109504.91 ,3.10 ,5470,9591,1373,Fashion,T-Shirts,31,RetailNet,FALSE
Gole-Rajan Necessitatibus Plus Kitchenware 10,Other,Gole-Rajan Necessitatibus,158621.51 ,158621.51 ,3.20 ,6721,3921,1168,Home,Kitchenware,0,FashionPlus,FALSE
Khatri Group Asperiores Plus T-Shirts 15,Other,Khatri Group,158233.52 ,158233.52 ,4.70 ,8141,9293,3572,Fashion,T-Shirts,0,MobileHub,TRUE
"Vyas, Kata and Sabharwal Alias Lite Smartwatches 7",Smartwatch,"Vyas, Kata",156949.60 ,80044.30 ,4.40 ,450,572,210,Electronics,Smartwatches,49,Cloudtail India,TRUE
Ganesh PLC Ipsa Plus T-Shirts 15,Other,Ganesh PLC,156656.35 ,156656.35 ,3.50 ,8417,3038,521,Fashion,T-Shirts,0,RetailNet,TRUE
"Bakshi, Bala and Narang Ipsam Ultra T-Shirts 7",Other,"Bakshi, Bala",155738.49 ,146394.18 ,4.60 ,3914,449,182,Fashion,T-Shirts,6,ElectroWorld,TRUE
Kashyap-Wason Sint Lite T-Shirts 4,Other,Kashyap-Wason Sint,153789.11 ,153789.11 ,4.40 ,8156,9505,4489,Fashion,T-Shirts,0,RetailNet,FALSE
Raval PLC Officia Pro T-Shirts 13,Other,Raval PLC,153586.27 ,112117.98 ,4.70 ,8703,6201,2675,Fashion,T-Shirts,27,SuperComNet,FALSE
Bahri-Nazareth Officia Plus T-Shirts 3,Other,Bahri-Nazareth Officia,153135.29 ,85755.76 ,4.00 ,1025,3564,284,Fashion,T-Shirts,44,HomeCare Solutions,FALSE
Golla-Manne Vel Ultra ACs 13,Other,Golla-Manne Vel,152639.90 ,125164.72 ,4.50 ,7910,8597,2142,Appliances,ACs,18,RetailNet,FALSE
Sachdeva Group Incidunt Pro T-Shirts 4,Other,Sachdeva Group,152580.53 ,100703.15 ,3.80 ,2935,8003,3610,Fashion,T-Shirts,34,Cloudtail India,FALSE
